SubG,Name,n_Name,Vmag,E_Vmag,e_Vmag,R1,e_R1,E_R1,muV,e_muV,E_muV,PA,e_PA,Ell,e_Ell,VMag,E_VMag,e_VMag,R2,e_R2,E_R2,muEff
"M31 ","Andromeda V","A  ",15.3,0.2,0.2,1.4,0.2,0.2,25.3,0.2,0.2,32,10,0.18,0.05,-9.1,0.2,0.2,315,46,46,26.7
"M31 ","Andromeda X","A  ",16.6,1.0,1.0,1.3,0.1,0.1,26.3,1.1,1.1,46,5,0.44,0.06,-7.6,1.0,1.0,265,33,33,27.4
"M31 ","Andromeda XXIII","A  ",14.2,0.5,0.5,4.6,0.2,0.2,28.0,0.5,0.5,138,5,0.4,0.05,-10.2,0.5,0.5,1029,76,76,27.8
"M31 ","Andromeda XX","A  ",18.2,0.8,0.8,0.53,0.04,0.14,26.2,0.8,0.8,80,20,0.3,0.15,-6.3,1.1,0.8,124,17,53,27.3
"M31 ","Andromeda XII","A,L",18.3,1.2,1.2,1.2,0.2,0.2,28.5,1.3,1.3,,,,,-6.4,1.2,1.2,304,66,66,29.6
"M31 ","NGC 147","A  ",9.5,0.1,0.1,3.17,,,21.2,,,25,3,0.41,0.02,-14.6,0.1,0.1,623,,,22.3
"M31 ","Andromeda XXI","A  ",14.8,0.6,0.6,3.5,0.3,0.3,27.0,0.4,0.4,110,15,0.2,0.07,-9.9,0.6,0.6,875,91,91,28.2
"M31 ","Andromeda XIV","A,L",15.9,0.5,0.5,1.7,0.8,0.8,27.2,0.6,0.6,,,0.31,0.09,-8.4,0.6,0.6,363,180,180,27.5
"M31 ","Andromeda XV","A  ",14.6,0.3,0.3,1.21,0.05,0.05,24.8,0.4,0.4,0,,0.0,,-9.4,0.4,0.4,222,22,22,25.9
"M31 ","Andromeda XIII","A  ",18.1,1.2,1.2,0.78,0.08,0.08,27.3,1.3,1.3,,,,,-6.7,1.3,1.3,207,44,23,28.4
"M31 ","Andromeda II","A  ",11.7,0.2,0.2,6.2,0.2,0.2,24.5,0.2,0.2,34,6,0.2,0.08,-12.4,0.2,0.2,1176,50,50,26.3
"M31 ","NGC 185","A  ",9.2,0.1,0.1,2.55,,,20.8,,,35,3,0.15,0.01,-14.8,0.1,0.1,458,,,21.9
